T, 783, 244.564875, 271.73875
T, 739, 244.564875, 271.73875
T, 783, 244.564875, 271.73875
T, 880, 244.564875, 271.73875
T, 987, 489.12975, 543.4775
T, 987, 489.12975, 543.4775
T, 880, 489.12975, 543.4775
T, 880, 489.12975, 543.4775
T, 783, 978.2595, 1086.955
T, 987, 244.564875, 271.73875
T, 987, 244.564875, 271.73875
T, 880, 244.564875, 271.73875
T, 987, 244.564875, 271.73875
T, 1046, 489.12975, 543.4775
T, 1046, 489.12975, 543.4775
T, 987, 244.564875, 271.73875
T, 987, 244.564875, 271.73875
T, 987, 489.12975, 543.4775
T, 880, 978.2595, 1086.955
T, 783, 244.564875, 271.73875
T, 739, 244.564875, 271.73875
T, 783, 244.564875, 271.73875
T, 880, 244.564875, 271.73875
T, 987, 489.12975, 543.4775
T, 987, 489.12975, 543.4775
T, 880, 489.12975, 543.4775
T, 1046, 489.12975, 543.4775
T, 987, 978.2595, 1086.955
T, 880, 978.2595, 1086.955
T, 783, 978.2595, 1086.955
T, 739, 244.564875, 271.73875
T, 783, 244.564875, 271.73875
T, 880, 489.12975, 543.4775
T, 783, 978.2595, 1086.955
T, 880, 978.2595, 1086.955
T, 783, 733.694625, 815.21625
T, 783, 244.564875, 271.73875
T, 739, 244.564875, 271.73875
T, 783, 244.564875, 271.73875
T, 880, 489.12975, 543.4775
T, 783, 978.2595, 1086.955
T, 783, 244.564875, 271.73875
T, 783, 244.564875, 271.73875
T, 783, 244.564875, 271.73875
T, 880, 244.564875, 271.73875
T, 987, 489.12975, 543.4775
T, 987, 244.564875, 271.73875
T, 987, 244.564875, 271.73875
T, 987, 244.564875, 271.73875
T, 987, 244.564875, 271.73875
T, 1046, 244.564875, 271.73875
T, 987, 244.564875, 271.73875
T, 880, 978.2595, 1086.955
T, 783, 244.564875, 271.73875
T, 783, 244.564875, 271.73875
T, 783, 244.564875, 271.73875
T, 880, 244.564875, 271.73875
T, 987, 244.564875, 271.73875
T, 987, 244.564875, 271.73875
T, 1046, 244.564875, 271.73875
T, 880, 244.564875, 271.73875
T, 783, 489.12975, 543.4775
T, 739, 489.12975, 543.4775
T, 783, 244.564875, 271.73875
T, 783, 244.564875, 271.73875
T, 783, 244.564875, 271.73875
T, 987, 244.564875, 271.73875
T, 1174, 489.12975, 543.4775
T, 987, 489.12975, 543.4775
T, 880, 1222.824375, 1358.69375
T, 1046, 244.564875, 271.73875
T, 987, 244.564875, 271.73875
T, 880, 244.564875, 271.73875
T, 783, 489.12975, 543.4775
T, 987, 489.12975, 543.4775
T, 1046, 489.12975, 543.4775
T, 880, 489.12975, 543.4775
T, 783, 978.2595, 1086.955
T, 880, 489.12975, 543.4775
T, 1046, 489.12975, 543.4775
T, 987, 733.694625, 815.21625
T, 987, 244.564875, 271.73875
T, 1046, 489.12975, 543.4775
T, 880, 489.12975, 543.4775
T, 783, 733.694625, 815.21625
T, 783, 244.564875, 271.73875
T, 739, 489.12975, 543.4775
T, 880, 489.12975, 543.4775
T, 783, 733.694625, 815.21625
T, 880, 244.564875, 271.73875
T, 880, 489.12975, 543.4775
T, 880, 489.12975, 543.4775
T, 880, 1467.38925, 1630.4325
T, 440, 366.8473125, 407.608125
T, 440, 122.2824375, 135.869375
T, 587, 489.12975, 543.4775
T, 587, 489.12975, 543.4775
T, 739, 489.12975, 543.4775
T, 739, 489.12975, 543.4775
T, 880, 978.2595, 1086.955
T, 880, 489.12975, 543.4775
T, 783, 244.564875, 271.73875
T, 739, 244.564875, 271.73875
T, 659, 244.564875, 271.73875
T, 783, 244.564875, 271.73875
T, 739, 244.564875, 271.73875
T, 659, 244.564875, 271.73875
T, 587, 489.12975, 543.4775
T, 554, 489.12975, 543.4775
T, 587, 1467.38925, 1630.4325
T, 440, 366.8473125, 407.608125
T, 440, 122.2824375, 135.869375
T, 587, 489.12975, 543.4775
T, 587, 489.12975, 543.4775
T, 739, 489.12975, 543.4775
T, 739, 489.12975, 543.4775
T, 880, 978.2595, 1086.955
T, 880, 489.12975, 543.4775
T, 880, 244.564875, 271.73875
T, 987, 244.564875, 271.73875
T, 1108, 489.12975, 543.4775
T, 987, 244.564875, 271.73875
T, 880, 244.564875, 271.73875
T, 987, 489.12975, 543.4775
T, 659, 489.12975, 543.4775
T, 880, 1467.38925, 1630.4325
T, 739, 244.564875, 271.73875
T, 880, 244.564875, 271.73875
T, 987, 489.12975, 543.4775
T, 987, 489.12975, 543.4775
T, 739, 489.12975, 543.4775
T, 739, 489.12975, 543.4775
T, 880, 978.2595, 1086.955
T, 880, 489.12975, 543.4775
T, 880, 244.564875, 271.73875
T, 783, 244.564875, 271.73875
T, 739, 489.12975, 543.4775
T, 739, 489.12975, 543.4775
T, 987, 489.12975, 543.4775
T, 783, 489.12975, 543.4775
T, 659, 1467.38925, 1630.4325
T, 587, 366.8473125, 407.608125
T, 739, 122.2824375, 135.869375
T, 880, 489.12975, 543.4775
T, 880, 489.12975, 543.4775
T, 880, 489.12975, 543.4775
T, 1174, 489.12975, 543.4775
T, 1174, 978.2595, 1086.955
T, 987, 489.12975, 543.4775
T, 880, 366.8473125, 407.608125
T, 783, 122.2824375, 135.869375
T, 739, 489.12975, 543.4775
T, 880, 489.12975, 543.4775
T, 987, 489.12975, 543.4775
T, 1108, 489.12975, 543.4775
T, 1174, 1956.519, 2173.91
